INDICATOR_ID	INDICATOR_NUM	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	VALUE_CATEGORY	VALUE_CATEGORY_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	COMMENT_OBS	SOURCE_YEAR
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	275	State of Palestine	PSE	35.25694122	31.94347933	Northern Africa and Western Asia	2017	10	Not applicable	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	344	China, Hong Kong Special Administrative Region	HKG	114.0266445	22.41749934	Eastern and South-Eastern Asia	2017	10	Not applicable	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	50	Bangladesh	BGD	89.17660788	22.86961622	Central and Southern Asia	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	144	Sri Lanka	LKA	80.70489654	7.614693343	Central and Southern Asia	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	462	Maldives	MDV	73.09672546	-0.614385021	Central and Southern Asia	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	524	Nepal	NPL	83.94678863	28.25866332	Central and Southern Asia	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	20	Andorra	AND	1.576257417	42.54548611	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	36	Australia	AUS	134.3499412	-25.57717202	Australia and New Zealand	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	40	Austria	AUT	14.14172472	47.58704857	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	56	Belgium	BEL	4.660976456	50.64104975	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	70	Bosnia and Herzegovina	BIH	17.78584332	44.16845548	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	100	Bulgaria	BGR	25.23763153	42.75731323	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	112	Belarus	BLR	28.04940161	53.54193075	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	124	Canada	CAN	-101.6575058	57.72360191	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	191	Croatia	HRV	17.95874553	45.45172212	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	196	Cyprus	CYP	33.22285964	35.05659437	Northern Africa and Western Asia	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	203	Czechia	CZE	15.33151382	49.73913871	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	208	Denmark	DNK	9.326571283	56.03829721	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	246	Finland	FIN	23.308447	61.91586738	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	250	France	FRA	2.457288129	46.62660861	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	276	Germany	DEU	10.3806066	51.08862743	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	300	Greece	GRC	22.58307827	39.47301873	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	348	Hungary	HUN	19.41221519	47.1651448	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	352	Iceland	ISL	-19.02116966	64.79134763	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	372	Ireland	IRL	-7.121425272	53.25274054	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	380	Italy	ITA	12.57022427	42.79917282	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	438	Liechtenstein	LIE	9.552985019	47.14167005	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	440	Lithuania	LTU	23.90517807	55.33680309	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	442	Luxembourg	LUX	6.092656563	49.77679538	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	498	Republic of Moldova	MDA	28.4650624	47.20236795	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	499	Montenegro	MNE	19.25214024	42.78717043	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	528	Netherlands	NLD	5.331480568	51.86728884	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	554	New Zealand	NZL	170.4755673	-43.98721568	Australia and New Zealand	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	578	Norway	NOR	11.47846389	61.34311134	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	616	Poland	POL	19.40660158	52.1226733	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	620	Portugal	PRT	-7.961599811	39.68509315	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	642	Romania	ROU	24.98481009	45.83893563	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	643	Russian Federation	RUS	99.01404926	61.61899849	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	674	San Marino	SMR	12.46329038	43.93841766	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
