INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE__M,OBS_VALUE__F,OBS_VALUE___T,NATURE__M,NATURE__F,NATURE___T,COMMENT_OBS__M,COMMENT_OBS__F,COMMENT_OBS___T,isLatestValue__M,isLatestValue__F,isLatestValue___T
I.9,ddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",df4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",1,World,,,,,G,Global,2019,PT,Percent,2016,53.1,46.4,50.5,E,E,E,,,,True,True,True
I.9,ddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",df4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",104,Myanmar,MMR,96.51752295,21.19332882,Eastern and South-Eastern Asia,G,Global,2019,PT,Percent,2015,82.4,82.7,82.5,C,C,C,Repository: ILO-STATISTICS - Micro data processing; Employment definition: Excluding own-use production workers;Break in series: Methodology revised;,Repository: ILO-STATISTICS - Micro data processing; Employment definition: Excluding own-use production workers;Break in series: Methodology revised;,Repository: ILO-STATISTICS - Micro data processing; Employment definition: Excluding own-use production workers;Break in series: Methodology revised;,False,False,False
I.9,ddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",df4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",104,Myanmar,MMR,96.51752295,21.19332882,Eastern and South-Eastern Asia,G,Global,2019,PT,Percent,2017,77.2,79.2,78.1,C,C,C,Repository: ILO-STATISTICS - Micro data processing; Employment definition: Excluding own-use production workers;Break in series: Methodology revised;,Repository: ILO-STATISTICS - Micro data processing; Employment definition: Excluding own-use production workers;Break in series: Methodology revised;,Repository: ILO-STATISTICS - Micro data processing; Employment definition: Excluding own-use production workers;Break in series: Methodology revised;,True,True,True
I.9,ddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",df4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",116,Cambodia,KHM,104.922836,12.71163737,Eastern and South-Eastern Asia,G,Global,2019,PT,Percent,2012,86.9,93.8,90.2,C,C,C,Repository: ILO-STATISTICS - Micro data processing;Break in series: Methodology revised;,Repository: ILO-STATISTICS - Micro data processing;Break in series: Methodology revised;,Repository: ILO-STATISTICS - Micro data processing;Break in series: Methodology revised;,True,True,True
I.9,ddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",df4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,G,Global,2019,PT,Percent,2007,73.9,86.6,79.2,C,C,C,Repository: ILO-STATISTICS - Micro data processing;,Repository: ILO-STATISTICS - Micro data processing;,Repository: ILO-STATISTICS - Micro data processing;,True,True,True
I.9,ddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",df4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",143,Central Asia,,,,Central and Southern Asia,G,Global,2019,PT,Percent,2016,50.0,37.5,45.1,E,E,E,,,,True,True,True
I.9,ddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",df4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",145,Western Asia,,,,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2016,41.3,30.9,38.7,E,E,E,,,,True,True,True
I.9,ddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",df4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",15,Northern Africa,,,,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2016,59.8,41.7,56.4,E,E,E,,,,True,True,True
I.9,ddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",df4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",150,Europe,,,,Europe and Northern America,G,Global,2019,PT,Percent,2016,20.8,17.4,19.2,E,E,E,,,,True,True,True
I.9,ddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",df4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,G,Global,2019,PT,Percent,2010,39.9,44.5,41.8,C,C,C,Repository: ILO-STATISTICS - Micro data processing;,Repository: ILO-STATISTICS - Micro data processing;,Repository: ILO-STATISTICS - Micro data processing;,False,False,False
